white;black;white_result
Perecz Mario;Radsetoulal Vlastimil;1.0
Kromp Milos;Maresova Valentyna Marie;1.0
Varsanyi Adam;Cernicky Martin;1.0

Sramek Vojtech;Ergang Martin;1.0
Rysanek Jakub;Kuznik Jakub;1.0
Batora Matej;Synek Jaroslav;1.0
Vaculik Martin;Medek Radovan;0.5
Kriz Tomas;Eaint Myat Noe;1.0
Juriga Tomas;Perecz Mario;1.0
Kuna Martin;Roman Filip;1.0
Zabloudil Radek;Kromp Milos;1.0
Krena Bohuslav;Lanca Petr David;1.0
Shelest Oleksii;Pecenka Petr;1.0
Chovan Samuel;Penas Jakub;1.0
Jezek Jakub;Stefan Matej;1.0
Ivanecka Natalia;Pelanek Daniel;1.0
Jordanov Mihail;Radsetoulal Vlastimil;1.0
Zitny Michal;Schwarz Ondrej;1.0
Kostura Daniel;Vojtechovsky Michal;1.0
Hung Do;Takacs Martin;1.0
Benes David;Vondrejc Tomas;1.0

Sramek Vojtech;Chovan Samuel;1.0
Rysanek Jakub;Hung Do;1.0
Batora Matej;Zitny Michal;1.0
Vaculik Martin;Kostura Daniel;1.0
Kriz Tomas;Jezek Jakub;0.0
Juriga Tomas;Kuna Martin;1.0
Ergang Martin;Medek Radovan;1.0
Zabloudil Radek;Jordanov Mihail;0.0
Krena Bohuslav;Ivanecka Natalia;1.0
Shelest Oleksii;Benes David;1.0
Lanca Petr David;Perecz Mario;1.0
Kuznik Jakub;Schwarz Ondrej;1.0
Synek Jaroslav;Penas Jakub;1.0
Roman Filip;Stefan Matej;0.0
Pecenka Petr;Takacs Martin;1.0
Pelanek Daniel;Radsetoulal Vlastimil;1.0
Kromp Milos;Vondrejc Tomas;0.0
Vojtechovsky Michal;Eaint Myat Noe;1.0

Sramek Vojtech;Rysanek Jakub;1.0
Batora Matej;Juriga Tomas;1.0
Vaculik Martin;Kuna Martin;0.5
Kriz Tomas;Ergang Martin;1.0
Zabloudil Radek;Synek Jaroslav;0.0
Krena Bohuslav;Jezek Jakub;1.0
Shelest Oleksii;Jordanov Mihail;1.0
Chovan Samuel;Lanca Petr David;1.0
Ivanecka Natalia;Kuznik Jakub;1.0
Zitny Michal;Pecenka Petr;1.0
Kostura Daniel;Pelanek Daniel;0.0
Hung Do;Vondrejc Tomas;0.5
Benes David;Stefan Matej;1.0
Roman Filip;Perecz Mario;1.0
Kromp Milos;Takacs Martin;0.0
Penas Jakub;Radsetoulal Vlastimil;1.0
Medek Radovan;Vojtechovsky Michal;1.0
Eaint Myat Noe;Schwarz Ondrej;0.0

Sramek Vojtech;Krena Bohuslav;0.5
Rysanek Jakub;Zitny Michal;1.0
Batora Matej;Shelest Oleksii;1.0
Vaculik Martin;Jezek Jakub;1.0
Kriz Tomas;Benes David;1.0
Juriga Tomas;Jordanov Mihail;1.0
Ergang Martin;Schwarz Ondrej;1.0
Kuna Martin;Vondrejc Tomas;1.0
Zabloudil Radek;Roman Filip;1.0
Chovan Samuel;Pelanek Daniel;1.0
Ivanecka Natalia;Synek Jaroslav;1.0
Kostura Daniel;Penas Jakub;1.0
Hung Do;Medek Radovan;1.0
Lanca Petr David;Vojtechovsky Michal;1.0
Kuznik Jakub;Pecenka Petr;1.0
Kromp Milos;Stefan Matej;1.0
Radsetoulal Vlastimil;Perecz Mario;1.0

Sramek Vojtech;Shelest Oleksii;0.5
Rysanek Jakub;Ivanecka Natalia;1.0
Batora Matej;Krena Bohuslav;1.0
Vaculik Martin;Juriga Tomas;1.0
Kriz Tomas;Chovan Samuel;1.0
Ergang Martin;Jordanov Mihail;1.0
Kuna Martin;Hung Do;1.0
Zabloudil Radek;Benes David;1.0
Jezek Jakub;Lanca Petr David;1.0
Zitny Michal;Synek Jaroslav;1.0
Kostura Daniel;Kuznik Jakub;0.0
Roman Filip;Medek Radovan;1.0
Pecenka Petr;Penas Jakub;1.0
Pelanek Daniel;Vondrejc Tomas;0.0
Kromp Milos;Vojtechovsky Michal;1.0
Radsetoulal Vlastimil;Schwarz Ondrej;1.0
Stefan Matej;Eaint Myat Noe;0.0

Sramek Vojtech;Kriz Tomas;1.0
Rysanek Jakub;Batora Matej;1.0
Vaculik Martin;Shelest Oleksii;0.5
Juriga Tomas;Kuznik Jakub;1.0
Ergang Martin;Chovan Samuel;1.0
Kuna Martin;Krena Bohuslav;0.5
Zabloudil Radek;Jezek Jakub;1.0
Ivanecka Natalia;Zitny Michal;1.0
Jordanov Mihail;Vondrejc Tomas;1.0
Kostura Daniel;Hung Do;1.0
Lanca Petr David;Radsetoulal Vlastimil;0.5
Synek Jaroslav;Eaint Myat Noe;1.0
Benes David;Pecenka Petr;1.0
Roman Filip;Pelanek Daniel;1.0
Kromp Milos;Medek Radovan;1.0
Penas Jakub;Stefan Matej;1.0
Perecz Mario;Schwarz Ondrej;1.0

Sramek Vojtech;Batora Matej;1.0
Rysanek Jakub;Vaculik Martin;0.5
Kriz Tomas;Ivanecka Natalia;1.0
Juriga Tomas;Krena Bohuslav;1.0
Ergang Martin;Shelest Oleksii;1.0
Kuna Martin;Zabloudil Radek;0.5
Chovan Samuel;Benes David;1.0
Jezek Jakub;Kuznik Jakub;1.0
Jordanov Mihail;Synek Jaroslav;1.0
Zitny Michal;Roman Filip;1.0
Kostura Daniel;Kromp Milos;1.0
Hung Do;Radsetoulal Vlastimil;1.0
Lanca Petr David;Vondrejc Tomas;1.0
Pecenka Petr;Vojtechovsky Michal;1.0
Pelanek Daniel;Perecz Mario;1.0
Penas Jakub;Eaint Myat Noe;1.0
Medek Radovan;Schwarz Ondrej;1.0

Osicka Premysl;Radimsky Simon;1.0
Juriga Tomas;Chmelar Jaroslav;0.5
Ivanecka Natalia;Brazda Jan;1.0
Chovan Samuel;Doshin Nikita;1.0
Holba Josef;Penas Jakub;1.0
Kovarik David;Kromp Milos;1.0
Solar Lukas;Perecz Mario;0.0
Synek Jaroslav;Varsanyi Adam;1.0
Kostura Daniel;Pelanek Daniel;0.0
Benovic Martin;Kvapil Jan;1.0

Osicka Premysl;Chovan Samuel;1.0
Juriga Tomas;Perecz Mario;1.0
Ivanecka Natalia;Holba Josef;0.0
Brazda Jan;Penas Jakub;1.0
Kovarik David;Pelanek Daniel;1.0
Solar Lukas;Kvapil Jan;1.0
Synek Jaroslav;Benovic Martin;0.0
Kostura Daniel;Chmelar Jaroslav;1.0
Kromp Milos;Radimsky Simon;1.0
Doshin Nikita;Varsanyi Adam;0.0

Osicka Premysl;Benovic Martin;1.0
Juriga Tomas;Ivanecka Natalia;0.0
Chovan Samuel;Brazda Jan;1.0
Holba Josef;Kovarik David;1.0
Solar Lukas;Pelanek Daniel;0.0
Synek Jaroslav;Perecz Mario;1.0
Kostura Daniel;Kromp Milos;0.5
Chmelar Jaroslav;Varsanyi Adam;1.0
Doshin Nikita;Penas Jakub;1.0
Radimsky Simon;Kvapil Jan;1.0

Osicka Premysl;Holba Josef;1.0
Juriga Tomas;Kostura Daniel;1.0
Ivanecka Natalia;Benovic Martin;1.0
Chovan Samuel;Pelanek Daniel;1.0
Brazda Jan;Varsanyi Adam;1.0
Kovarik David;Synek Jaroslav;1.0
Solar Lukas;Radimsky Simon;1.0
Chmelar Jaroslav;Kromp Milos;0.0
Doshin Nikita;Perecz Mario;0.0
Kvapil Jan;Penas Jakub;1.0

Osicka Premysl;Kovarik David;1.0
Juriga Tomas;Holba Josef;1.0
Ivanecka Natalia;Chovan Samuel;1.0
Brazda Jan;Perecz Mario;0.5
Solar Lukas;Synek Jaroslav;1.0
Kostura Daniel;Kvapil Jan;1.0
Chmelar Jaroslav;Pelanek Daniel;1.0
Kromp Milos;Benovic Martin;0.0
Doshin Nikita;Radimsky Simon;1.0
Varsanyi Adam;Penas Jakub;1.0

Osicka Premysl;Ivanecka Natalia;1.0
Juriga Tomas;Kovarik David;1.0
Chovan Samuel;Holba Josef;1.0
Brazda Jan;Kromp Milos;1.0
Solar Lukas;Benovic Martin;1.0
Synek Jaroslav;Kvapil Jan;1.0
Kostura Daniel;Perecz Mario;1.0
Chmelar Jaroslav;Doshin Nikita;1.0
Pelanek Daniel;Varsanyi Adam;1.0
Radimsky Simon;Penas Jakub;0.0

Osicka Premysl;Juriga Tomas;0.0
Ivanecka Natalia;Solar Lukas;1.0
Chovan Samuel;Kostura Daniel;1.0
Brazda Jan;Chmelar Jaroslav;1.0
Holba Josef;Benovic Martin;1.0
Kovarik David;Perecz Mario;1.0
Synek Jaroslav;Pelanek Daniel;1.0
Kromp Milos;Penas Jakub;1.0
Doshin Nikita;Kvapil Jan;1.0
Varsanyi Adam;Radimsky Simon;0.5

